candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return_gate,full_drawdown_gate,severe_cost,all_screen_gates,joint_improvement
cash_rel_20w_10_30,0.92956640014072,2.5939746712951286,-0.12116321379113171,0.9459378803834368,0.3615238871232269,-0.23918046541660143,0.8258747813540572,False,True,True,True,True,True,True,False,False
cash_rel_11w_10_20,0.9294229148598003,2.619791790354377,-0.11308803297831116,0.9456982224054067,0.3689588383780187,-0.22499079744404538,0.8277877323523612,False,True,True,True,True,True,True,False,False
cash_rel_12w_05_40,0.9285246739644548,2.6349219059567317,-0.11132620294255746,0.9177688507275363,0.36605424143800014,-0.2305400316673083,0.8030063441468949,False,True,True,True,True,True,False,False,False
cash_rel_10w_05_40,0.9285246739644524,2.634921905956728,-0.11132620294255757,0.917768850727535,0.3667789754058781,-0.23610100436421289,0.8030063441468964,False,True,True,True,True,True,False,False,False
cash_rel_12w_00_10,0.9284119700751221,2.484129737022169,-0.12985296713940986,0.8917290234794812,0.38287695416308765,-0.21595557503978724,0.8198447639985333,False,True,True,True,True,True,False,False,False
cash_rel_10w_00_10,0.9284119700751208,2.484129737022167,-0.12985296713940997,0.8917290234794804,0.3830062142920947,-0.21728487778484884,0.8198447639985329,False,True,True,True,True,True,False,False,False
cash_rel_22w_05_40,0.9279300448786347,2.4791741004364187,-0.14518520661800305,0.9167895881500052,0.3600916923115596,-0.23322919860115277,0.8023457061796202,False,True,True,True,True,True,False,False,False
cash_rel_22w_00_10,0.9276284960014727,2.4327776916779786,-0.13995606445089726,0.8904562482143954,0.38080230380018554,-0.21665649973509804,0.8192856476486923,False,True,True,True,True,True,False,False,False
cash_rel_12w_05_30,0.9247446671680453,2.6082497482649156,-0.11528995039889278,0.9115471363912557,0.3695163615538293,-0.22704213373438953,0.8066988575682437,False,True,True,True,True,True,False,False,False
cash_rel_10w_05_30,0.924744667168041,2.6082497482649076,-0.11528995039889323,0.9115471363912535,0.37012037695294353,-0.23031684614480252,0.8066988575682454,False,True,True,True,True,True,False,False,False
cash_rel_22w_05_30,0.9238360461309143,2.4873248508624304,-0.1395892564690896,0.9100527830981742,0.3653249423363514,-0.2279338739207597,0.8057927491899195,False,True,True,True,True,True,False,False,False
cash_rel_16w_00_20,0.9235434744806397,2.412641010550504,-0.14930868579764278,0.8838255179232553,0.3748662991585645,-0.22593413819440333,0.7976733656811752,False,True,True,True,True,True,False,False,False
cash_rel_16w_00_30,0.9235380199919414,2.399167740484512,-0.15670664568499137,0.8838166704715116,0.36926088732039153,-0.2332188831356775,0.7852147096326898,False,True,True,True,True,True,False,False,False
cash_rel_16w_00_10,0.9233988252456768,2.424000114066164,-0.14187945385373302,0.8835908952465819,0.38042746595925814,-0.21862375525709943,0.8100281549751998,False,True,True,True,True,True,False,False,False
cash_rel_16w_00_40,0.9233823497060916,2.383700561345566,-0.16407339653101694,0.8835641724716696,0.36361170936592146,-0.24047774854500414,0.7726543298529951,False,True,True,True,True,True,False,False,False
cash_rel_39w_00_20,0.9231041941304328,2.4331384584154536,-0.1344188867847902,0.8831130360956234,0.3676278499040364,-0.2349257843787118,0.8222769358977453,False,True,True,True,True,True,True,False,False
cash_rel_39w_00_10,0.9231041941304325,2.4331384584154536,-0.13441888678479008,0.883113036095623,0.3767787099926925,-0.22316504862962205,0.8222769358977462,False,True,True,True,True,True,True,False,False
cash_rel_39w_00_50,0.9231041941304319,2.4331384584154523,-0.1344188867847902,0.8831130360956225,0.3402626282904393,-0.26951417171883885,0.8222769358977449,False,True,True,True,False,True,False,False,False
cash_rel_39w_00_30,0.9231041941304314,2.433138458415452,-0.1344188867847902,0.8831130360956219,0.35849146096490503,-0.24657060177547963,0.8222769358977451,False,True,True,True,True,True,True,False,False
cash_rel_39w_00_40,0.9231041941304312,2.4331384584154523,-0.1344188867847903,0.8831130360956219,0.3493696762967784,-0.2580999219864091,0.8222769358977453,False,True,True,True,False,True,True,False,False
cash_rel_16w_00_50,0.9230763612786153,2.366370816919808,-0.17140900129772574,0.883067896765364,0.3579192427955815,-0.247710496017015,0.7599943706303567,False,False,True,False,True,True,False,False,False
cash_rel_10w_05_20,0.9204598628626779,2.5709074752066194,-0.11933535683146823,0.9045042393856644,0.37332227153997044,-0.22551612798310727,0.809960044552251,False,True,True,True,True,True,False,False,False
cash_rel_12w_05_20,0.9204598628626741,2.5709074752066137,-0.11933535683146845,0.9045042393856588,0.37284142632547046,-0.2235408057082754,0.809960044552249,False,True,True,True,True,True,False,False,False
cash_rel_22w_05_20,0.9196070400060075,2.493206486591219,-0.13398813215458494,0.9031036909199093,0.3705214872358227,-0.22261575865948002,0.8090801661128069,False,True,True,True,True,True,False,False,False
cash_rel_22w_10_50,0.9190210925101747,2.5268521632843557,-0.14027716069161322,0.9283556322226201,0.34967868604624774,-0.23913016460135728,0.7915665766845026,False,True,True,True,False,True,False,False,False
cash_rel_10w_10_50,0.9186617848742977,2.6954008012618216,-0.1014392874973602,0.9277576709774449,0.35667003999334135,-0.2449717168729002,0.7917639421309222,False,True,True,True,True,True,False,False,False
