rule_name,target,subperiod,n_events,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return,return_lift
rule_int_credit_strength_x_trend__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2021_2026,1596,0.1701492537313433,0.2349624060150376,0.2571428571428571,-0.022180451127819523,0.00736920864541835,0.01297451572413913,-0.005605307078720779
rule_int_market_trend_x_mom13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2010_2015,2843,0.2656512801345543,0.28631727048892014,0.2632218276957578,0.023095442793162335,0.004643681009349327,0.003483188124790297,0.0011604928845590301
rule_int_market_trend_x_mom13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2016_2020,2319,0.25385878489326763,0.296248382923674,0.2571428571428571,0.039105525780816885,0.0058451080546602,0.006819623226853916,-0.0009745151721937163
rule_int_market_trend_x_mom13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2021_2026,1970,0.20693277310924368,0.3050761421319797,0.2571428571428571,0.04793328498912258,0.007274529649509,0.006374794816463079,0.0008997348330459206
rule_int_market_trend_x_mom13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2010_2015,2843,0.2656512801345543,0.2866690116074569,0.2632218276957578,0.023447183911699088,0.007660184148438996,0.007222038265470979,0.0004381458829680173
rule_int_market_trend_x_mom13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2016_2020,2319,0.25385878489326763,0.2884864165588616,0.2571428571428571,0.031343559416004474,0.0098889209035088,0.013835204278374246,-0.003946283374865446
rule_int_market_trend_x_mom13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2021_2026,1935,0.2062899786780384,0.3147286821705426,0.2571428571428571,0.0575858250276855,0.01833807824340086,0.01297451572413913,0.00536356251926173
rule_int_market_trend_x_mom13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2010_2015,2843,0.26582515194015893,0.2845585648962364,0.26339410939691443,0.021164455499321944,0.004643681009349327,0.0035440503000185226,0.0010996307093308045
rule_int_market_trend_x_mom13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2016_2020,2319,0.25385878489326763,0.27123760241483397,0.2571428571428571,0.01409474527197685,0.0058451080546602,0.006819623226853916,-0.0009745151721937163
rule_int_market_trend_x_mom13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2021_2026,1970,0.20693277310924368,0.2649746192893401,0.2571428571428571,0.007831762146482957,0.007274529649509,0.006374794816463079,0.0008997348330459206
